Rate of acceleration (mpg/sec),No. of Trials,Avg Fuel Consumption (cc/mile),Standard Dev (cc/mile)
1,4,259.4,4.83
2,4,270.9,1.39
3,4,274.1,2.87
4,4,286.4,6.88
5,4,282.4,6.79
