"","Route.Number","Route.Suffix","County","Vehicle.Hours.of.Delay..VHD..Rank","Annual.Vehicle.Hours.of.Delay..VHD..at.35.miles.per.hour..mph.","Annual.Vehicle.Miles.Traveled..VMT.","year"
"467",5,"","YOL",137,"9,052","357,915,847","2016"
"468",168,"S","FRE",138,"7,786","236,257,715","2016"
"469",99,"","BUT",139,"7,180","60,777,015","2016"
"470",219,"","STA",140,"5,722","36,469,776","2016"
"471",90,"","LA",141,"5,013","64,750,140","2016"
"472",50,"","ED",142,"4,270","745,891,012","2016"
"473",152,"","MER",143,"3,453","155,017,059","2016"
"474",380,"","SM",144,"3,073"," -   ","2016"
"475",580,"","MAR",145,"3,017","33,740,411","2016"
"476",76,"","SD",146,"2,945","30,650,456","2016"
"477",25,"","SBT",147,"1,751","27,971,278","2016"
"478",67,"","SD",148,"1,701","19,786,178","2016"
"479",80,"","NAP",149,"1,147","52,936,557","2016"
"480",99,"","SUT",150,"1,103","515,514,181","2016"
"481",49,"","MAR",151,"856","11,073,810","2016"
"482",198,"","TUL",152,"741","192,744,221","2016"
"483",152,"","MAD",153,"528","22,550,973","2016"
"484",39,"","ORA",154,"492","245,990,727","2016"
"485",132,"","SJ",155,"422","29,466,810","2016"
"486",168,"","FRE",156,"380","40,150,627","2016"
"487",29,"","NAP",157,"328","64,936,199","2016"
"488",259,"","SBD",158,"300","17,921,640","2016"
"489",41,"S","MAD",159,"246","20,778,186","2016"
"490",5,"","MER",160,"161","67,485,676","2016"
"491",156,"","SCL",161,"129","3,472,455","2016"
"492",74,"","ORA",162,"89","249,101,951","2016"
"493",780,"","SOL",163,"87","99,726,623","2016"
"494",275,"","YOL",164,"3","415,583","2016"
"495",12,"","SJ",165,"1","10,357,125","2016"
"496",178,"","KER",166,"1","6,174,708","2016"
"497",12,"","SAC",167," -   ","2,241,109","2016"
"498",13,"","ALA",168," -   ","88,173,309","2016"
"499",880,"S","ALA",169," -   ","23,673,930","2016"
"500",160,"","CC",170," -   ","4,810,444","2016"
"501",104,"","AMA",171," -   ","19,418,516","2016"
"502",120,"","SJ",172," -   ","176,252,122","2016"
"503",108,"","TUO",173," -   ","2,590,641","2016"
"504",120,"","TUO",174," -   ","1,610,135","2016"
